name,population,white_pop,percent_white
"Meigs County, Tennessee",12758,11894,0.9322777864869102
"Montgomery County, Tennessee",220069,137775,0.626053646810773
"Moore County, Tennessee",6461,6030,0.9332920600526234
"Obion County, Tennessee",30787,25009,0.8123233832461754
"Overton County, Tennessee",22511,21332,0.9476256052596508
"Pickett County, Tennessee",5001,4829,0.9656068786242752
"Polk County, Tennessee",17544,16430,0.9365025079799362
"Rhea County, Tennessee",32870,28987,0.8818679647094615
"Roane County, Tennessee",53404,48463,0.9074788405362895
"Rutherford County, Tennessee",341486,226227,0.6624781103764137
"Scott County, Tennessee",21850,21051,0.9634324942791762
"Sequatchie County, Tennessee",15826,14585,0.9215847339820549
"Shelby County, Tennessee",929744,326077,0.3507169715534599
"Smith County, Tennessee",19904,18192,0.9139871382636656
"Sullivan County, Tennessee",158163,144395,0.9129505636590101
"Sumner County, Tennessee",196281,158075,0.8053504924062951
"Trousdale County, Tennessee",11615,8883,0.7647869134739561
"Unicoi County, Tennessee",17928,16386,0.9139892904953146
"Van Buren County, Tennessee",6168,5890,0.954928664072633
"Warren County, Tennessee",40953,34794,0.8496080873196102
"Wayne County, Tennessee",16232,14595,0.8991498275012322
"Weakley County, Tennessee",32902,28113,0.8544465382043644
"Williamson County, Tennessee",247726,203600,0.8218757821141099
"Wilson County, Tennessee",147737,120782,0.817547398417458
"Bedford County, Tennessee",50237,37996,0.7563349722316222
"Blount County, Tennessee",135280,119367,0.8823698994677706
"Cannon County, Tennessee",14506,13187,0.9090721080932028
"Cheatham County, Tennessee",41072,36788,0.8956953642384106
"Clay County, Tennessee",7581,7247,0.9559424877984435
"Crockett County, Tennessee",13911,10240,0.7361081158795199
"Decatur County, Tennessee",11435,10565,0.9239177962396152
"Jackson County, Tennessee",11617,10863,0.9350951192218301
"Knox County, Tennessee",478971,379510,0.7923444216873256
"Lawrence County, Tennessee",44159,40717,0.9220543943476981
"Loudon County, Tennessee",54886,47353,0.8627518857267792
"Macon County, Tennessee",25216,22795,0.9039895304568528
"Marshall County, Tennessee",34318,28704,0.8364123783437263
"Monroe County, Tennessee",46250,41678,0.901145945945946
"Morgan County, Tennessee",21035,19130,0.9094366531970526
"Perry County, Tennessee",8366,7748,0.9261295720774564
"Putnam County, Tennessee",79854,67940,0.8508027149547925
"Robertson County, Tennessee",72803,58467,0.8030850377044902
"Sevier County, Tennessee",98380,85656,0.8706647692620452
"Stewart County, Tennessee",13657,12463,0.9125723072417076
"Tipton County, Tennessee",60970,45400,0.7446285058225357
"Union County, Tennessee",19802,18770,0.9478840521159478
"Washington County, Tennessee",133001,113998,0.8571213750272554
"White County, Tennessee",27351,25018,0.9147014734378999
"Anderson County, Tennessee",77123,66863,0.8669657560001556
"Benton County, Tennessee",15864,14487,0.9131996974281392
"Bledsoe County, Tennessee",14913,13258,0.8890230000670556
"Bradley County, Tennessee",108620,89555,0.8244798379672252
"Campbell County, Tennessee",39272,37267,0.9489458138113669
"Carroll County, Tennessee",28440,23997,0.8437763713080169
"Carter County, Tennessee",56356,52173,0.9257754276385833
"Chester County, Tennessee",17341,14614,0.8427426330661438
"Claiborne County, Tennessee",32043,30175,0.9417033361420591
"Cocke County, Tennessee",35999,33028,0.91746992972027
"Coffee County, Tennessee",57889,49686,0.8582977767796991
"Cumberland County, Tennessee",61145,56870,0.9300842260201161
"Davidson County, Tennessee",715884,400622,0.5596185974263987
"DeKalb County, Tennessee",20080,17763,0.8846115537848606
"Dickson County, Tennessee",54315,47609,0.8765350271564024
"Dyer County, Tennessee",36801,28611,0.7774516996820738
"Fayette County, Tennessee",41990,27857,0.6634198618718743
"Fentress County, Tennessee",18489,17633,0.9537022013088864
"Franklin County, Tennessee",42774,37256,0.8709963996820499
"Gibson County, Tennessee",50429,38280,0.7590870332546749
"Giles County, Tennessee",30346,25170,0.8294338627825744
"Grainger County, Tennessee",23527,21934,0.9322905597823777
"Greene County, Tennessee",70152,63841,0.9100382027597217
"Grundy County, Tennessee",13529,12671,0.9365806785423905
"Hamblen County, Tennessee",64499,51243,0.794477433758663
"Hamilton County, Tennessee",366207,254803,0.6957895397957986
"Hancock County, Tennessee",6662,6391,0.9593215250675473
"Hardeman County, Tennessee",25462,14073,0.5527059932448355
"Hardin County, Tennessee",26831,24468,0.9119302299578845
"Hawkins County, Tennessee",56721,53148,0.9370074575554027
"Haywood County, Tennessee",17864,7695,0.43075459023734886
"Henderson County, Tennessee",27842,24079,0.8648444795632497
"Henry County, Tennessee",32199,27529,0.8549644398894376
"Hickman County, Tennessee",24925,22351,0.8967301905717151
"Houston County, Tennessee",8283,7557,0.9123505976095617
"Humphreys County, Tennessee",18990,17270,0.9094260136914165
"Jefferson County, Tennessee",54683,49561,0.9063328639613774
"Johnson County, Tennessee",17948,16233,0.9044461778471139
"Lake County, Tennessee",7005,4825,0.6887937187723054
"Lauderdale County, Tennessee",25143,15144,0.6023147595752297
"Lewis County, Tennessee",12582,11654,0.9262438404069305
"Lincoln County, Tennessee",35319,30195,0.8549222797927462
"McMinn County, Tennessee",53276,46564,0.8740145656580824
"McNairy County, Tennessee",25866,22983,0.88854094177685
"Madison County, Tennessee",98823,54249,0.5489511550954738
"Marion County, Tennessee",28837,25872,0.8971807053438291
"Maury County, Tennessee",100974,77837,0.7708618060094677
